INFO:2016-11-01 17:13:11,343:root:gettopicsqueue....
INFO:2016-11-01 17:13:11,344:root:setresponsetext....
INFO:2016-11-01 17:13:11,346:root:checkreplycondition....
INFO:2016-11-01 17:13:15,393:root:responsetopic....
DEBUG:2016-11-01 17:13:15,393:root:sofa .... 
INFO:2016-11-01 17:13:15,394:root:gettopicsqueue....
INFO:2016-11-01 17:13:15,394:root:setresponsetext....
INFO:2016-11-01 17:13:15,394:root:checkreplycondition....
INFO:2016-11-01 17:13:19,692:root:responsetopic....
DEBUG:2016-11-01 17:13:20,959:root:sofa .... 
INFO:2016-11-01 17:13:20,961:root:gettopicsqueue....
INFO:2016-11-01 17:13:20,962:root:setresponsetext....
INFO:2016-11-01 17:13:20,964:root:checkreplycondition....
INFO:2016-11-01 17:13:23,368:root:responsetopic....
DEBUG:2016-11-01 17:13:24,368:root:sofa .... 
INFO:2016-11-01 17:13:24,368:root:gettopicsqueue....
INFO:2016-11-01 17:13:24,369:root:setresponsetext....
INFO:2016-11-01 17:13:24,369:root:checkreplycondition....
INFO:2016-11-01 17:13:27,398:root:responsetopic....
DEBUG:2016-11-01 17:13:27,398:root:sofa .... 
INFO:2016-11-01 17:13:27,399:root:gettopicsqueue....
INFO:2016-11-01 17:13:27,399:root:setresponsetext....
INFO:2016-11-01 17:13:27,399:root:checkreplycondition....
INFO:2016-11-01 17:13:30,132:root:responsetopic....
DEBUG:2016-11-01 17:13:40,537:root:sofa .... 
INFO:2016-11-01 17:13:40,538:root:gettopicsqueue....
INFO:2016-11-01 17:13:40,542:root:setresponsetext....
INFO:2016-11-01 17:13:40,546:root:checkreplycondition....
ERROR:2016-11-01 17:13:54,491:root:https://www.douban.com/group/taotaopaoxiao/discussion?start=0
ERROR:2016-11-01 17:13:54,491:root:¡¨Ω” ß∞‹
